Edge,Ollivier-Ricci Curvature
"('27', '820')",-0.05438596491228065
"('27', '838')",-0.08148148148148238
"('27', '864')",-0.06607142857142656
"('27', '912')",-0.07526595744680731
"('61', '118')",-0.045418167266905396
"('61', '149')",-0.04411764705882182
"('61', '160')",-0.022058823529410798
"('61', '162')",-0.026810724289715093
"('61', '175')",-0.02512254901960631
"('61', '210')",-0.03868092691622027
"('61', '233')",-0.019399249061325285
"('61', '239')",-0.003529411764705337
"('61', '258')",-0.031417112299464645
"('61', '304')",-0.048431372549018636
"('61', '305')",-0.021764705882352242
"('61', '315')",-0.029055258467022504
"('61', '319')",-0.06543052003409877
"('61', '332')",-0.04301075268817134
"('61', '354')",-0.09497549019607754
"('61', '360')",-0.03514613392526811
"('61', '388')",-0.025712171661117944
"('61', '435')",-0.03650396328744088
"('61', '446')",-0.01896845694799465
"('61', '511')",-0.027815777473778613
"('61', '528')",-0.03921568627450789
"('61', '537')",-0.041816726690675265
"('61', '547')",-0.06962785114045511
"('61', '556')",-0.04967320261437691
"('61', '563')",-0.011238641798182236
"('61', '610')",-0.05882352941176272
"('61', '615')",-0.029577932868060985
"('61', '634')",-0.027347781217750722
"('61', '642')",-0.03761140819964304
"('61', '647')",-0.036185383244206726
"('61', '660')",-0.02424242424242329
"('61', '666')",-0.06666666666666465
"('61', '684')",-0.012805122048818784
"('61', '686')",-0.04518329070758531
"('61', '708')",-0.00581588567630309
"('61', '725')",-0.03921568627450789
"('61', '731')",0.005840634125992339
"('61', '762')",-0.02495543672014211
"('61', '772')",0.024614100959534313
"('61', '783')",-0.028895768833850033
"('61', '802')",-0.019607843137253056
"('61', '846')",-0.019275506812893584
"('61', '880')",-0.03161764705882186
"('61', '924')",-0.017769607843135526
"('61', '948')",-0.029411764705880472
"('61', '965')",-0.044375644994840924
"('61', '966')",-0.020975832193341315
"('61', '969')",-0.04259634888438013
"('61', '981')",-0.04656862745097845
"('61', '996')",0.011982570806100101
"('78', '23')",-0.07894736842105043
"('78', '26')",-0.06140350877192913
"('78', '36')",-0.030701754385966007
"('78', '63')",-0.07491944146079477
"('78', '65')",-0.08567251461988246
"('78', '94')",-0.03654970760234022
"('78', '113')",-0.1093872741555384
"('78', '134')",-0.09152046783625645
"('78', '166')",-0.07926829268292601
"('78', '179')",-0.02631578947368518
"('78', '277')",-0.08210526315789402
"('78', '299')",-0.05753353973168096
"('78', '303')",-0.043859649122807154
"('78', '367')",-0.07034412955465474
"('78', '386')",-0.04727921498661769
"('78', '522')",-0.03106125970664353
"('78', '527')",-0.07017543859648989
"('78', '559')",-0.09283625730994194
"('78', '607')",-0.05830753353973028
"('78', '645')",-0.054276315789472784
"('78', '651')",-0.032413350449294054
"('78', '675')",-0.07631578947368323
"('78', '685')",-0.07249255213505479
"('78', '724')",-0.06315789473684008
"('78', '726')",-0.07770605759682225
"('78', '741')",-0.09820282413350423
"('78', '751')",-0.08263157894736772
"('78', '762')",-0.07248803827750971
"('78', '785')",-0.05627530364372357
"('78', '786')",-0.07922732362821838
"('78', '811')",-0.08070175438596339
"('78', '829')",-0.032894736842104644
"('78', '856')",-0.03508771929824661
"('78', '894')",-0.08959899749373212
"('78', '896')",-0.044534412955464786
"('78', '943')",-0.0643274853801159
"('78', '957')",-0.09382151029748087
"('115', '21')",-0.04669917479369756
"('115', '54')",-0.03510436432637465
"('115', '56')",-0.024790919952209833
"('115', '72')",-0.026881720430107725
"('115', '80')",0.012960829493089077
"('115', '85')",-0.015542521994134084
"('115', '133')",0.00527859237536743
"('115', '139')",-0.05967741935483817
"('115', '168')",-0.0038200339558571716
"('115', '173')",-0.03423615337796693
"('115', '175')",-0.02688172043010706
"('115', '179')",-0.01254480286738291
"('115', '214')",0.006624423963135451
"('115', '268')",-0.015395894428152035
"('115', '307')",-0.0381231671554243
"('115', '320')",0.008857747223690704
"('115', '321')",-0.012007168458780137
"('115', '331')",-0.0030044275774814277
"('115', '334')",-0.026531089294063337
"('115', '346')",-0.04156327543424254
"('115', '359')",-0.08602150537634312
"('115', '362')",-0.038018433179722866
"('115', '403')",-0.03785385121790652
"('115', '411')",0.0006451612903229931
"('115', '413')",-0.019389155799587554
"('115', '452')",-0.01750171585449478
"('115', '477')",-0.009710335747202148
"('115', '483')",0.005292338709677935
"('115', '501')",-0.03310696095076349
"('115', '513')",-0.06333595594020403
"('115', '521')",-0.02816562349542573
"('115', '525')",-0.04313578394598627
"('115', '535')",-0.027712609970673485
"('115', '539')",0.00028801843318082554
"('115', '548')",-0.0338709677419351
"('115', '573')",0.0013904338153506446
"('115', '575')",-0.047797010228166625
"('115', '594')",0.021889400921660473
"('115', '597')",0.004564820450396079
"('115', '613')",-0.023093841642228385
"('115', '620')",-0.03870967741935427
"('115', '624')",0.012333965844402384
"('115', '629')",-0.0876757650951192
"('115', '646')",0.01521606816798593
"('115', '659')",-0.11181342632955538
"('115', '681')",0.002230610844201286
